epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,36147.4,0.62314,1.34688,1.33539,0.56267,0.43728,0.46833,0.35597,0.85209,3.76913,1.60491,0.001981,0.001981,0.001981
83,36587.1,0.62085,1.32137,1.328,0.5657,0.43539,0.46921,0.35683,0.85143,3.7753,1.60473,0.001882,0.001882,0.001882
84,37026.9,0.6116,1.29652,1.32315,0.56413,0.43679,0.4707,0.35818,0.85177,3.78305,1.60564,0.001783,0.001783,0.001783
85,37466.9,0.60697,1.27224,1.31413,0.5671,0.43714,0.47234,0.35943,0.85164,3.79302,1.60562,0.001684,0.001684,0.001684
86,37906.7,0.6032,1.23606,1.30609,0.57007,0.437,0.47362,0.36051,0.85119,3.80059,1.60551,0.001585,0.001585,0.001585
87,38346.2,0.59668,1.2119,1.29896,0.57071,0.43799,0.47438,0.36121,0.85098,3.80962,1.60551,0.001486,0.001486,0.001486
88,38785.5,0.5937,1.19564,1.29805,0.57028,0.44027,0.47544,0.36244,0.85055,3.81658,1.6056,0.001387,0.001387,0.001387
89,39224.3,0.5878,1.17148,1.29074,0.57061,0.44143,0.47718,0.3636,0.85016,3.82468,1.60559,0.001288,0.001288,0.001288
90,39664.4,0.5842,1.14915,1.28429,0.57166,0.44254,0.47882,0.36487,0.85057,3.83332,1.60667,0.001189,0.001189,0.001189
91,40119.4,0.58083,1.13409,1.28069,0.57266,0.44393,0.48014,0.36599,0.8505,3.83991,1.6071,0.00109,0.00109,0.00109
92,40559.1,0.57438,1.10919,1.27451,0.57266,0.44627,0.48154,0.36731,0.84986,3.84599,1.60693,0.000991,0.000991,0.000991
93,40998.8,0.56953,1.09747,1.26989,0.57561,0.44779,0.48308,0.36836,0.84981,3.85246,1.60729,0.000892,0.000892,0.000892
94,41438.4,0.56409,1.07427,1.26168,0.57442,0.44885,0.48419,0.36975,0.84981,3.86109,1.60767,0.000793,0.000793,0.000793
95,41878.2,0.55894,1.05507,1.25976,0.57735,0.44812,0.48527,0.37083,0.84965,3.86621,1.60777,0.000694,0.000694,0.000694
96,42319.7,0.55398,1.04141,1.2518,0.57699,0.44953,0.48692,0.37209,0.84908,3.87047,1.60761,0.000595,0.000595,0.000595
97,42766.8,0.55323,1.03142,1.25201,0.57373,0.4529,0.48847,0.37336,0.84911,3.87729,1.60813,0.000496,0.000496,0.000496
98,43227.3,0.54675,1.02378,1.24563,0.57032,0.45509,0.48959,0.3745,0.84947,3.88403,1.60905,0.000397,0.000397,0.000397
99,43691.8,0.54517,1.00902,1.24356,0.56902,0.45667,0.49137,0.37596,0.84955,3.89143,1.60941,0.000298,0.000298,0.000298
100,44150.3,0.54399,1.00392,1.23801,0.56862,0.45812,0.49283,0.37697,0.84924,3.89625,1.60962,0.000199,0.000199,0.000199
